permit_number,permit_issuance_date,permit_expiration_date,facility_name,facility_address,facility_county,facility_state,state_facility_id,initial_construction_commenced_notification_required,construction_commenced_notification_window_days,initial_startup_notification_required,startup_notification_window_days,permit_copy_onsite_required,right_of_entry_clause,permit_extraction_notes,source_file,num_generators,generator_ref,included_in_permit_project,original_permit_date,equipment_facility_id,make,model,rated_capacity_bhp,rated_capacity_hp,rated_capacity_kw,rated_capacity_mmbtu_per_hr,calculated_bhp,calculated_hp,calculated_kw,calculated_mmbtu_per_hr,primary_fuel_type,secondary_fuel_type,other_fuels,fuel_grade,fuel_specification,fuel_sulfur_content_pct,fuel_certification_required,fuel_change_permit_trigger,fuel_throughput_per_unit_limit,fuel_throughput_per_unit_scope,fuel_throughput_per_unit_group_ref,fuel_throughput_combined_limit,fuel_throughput_combined_group_ref,control_technology,operating_hours_per_unit_limit,operating_hours_per_unit_rolling_window,operating_hours_combined_limit,operating_hours_combined_group_ref,operating_hours_combined_rolling_window,allowed_operating_modes,opacity_limit_percent,hour_meter_required,observation_frequency,recordkeeping_window_years,nsps_subpart_iiii,mact_subpart_zzzz,generator_extraction_notes
P0137676,2025-07-09,2030-07-09,CMH01 Holdings LP,"601 Benjamin Dr Springfield, OH 45502",Clark,OH,0812105048,,,,,,"Yes. Under Ohio law, the Director or his/her authorized representative may inspect the facility, conduct tests, examine records or reports to determine compliance with air pollution laws and regulations and the terms and conditions of this permit. You must provide, within a reasonable time, any information Ohio EPA requests either verbally or in writing.","Primary identifiers and dates from Authorization pages (Issued/Effective/Expiration on page 1). Facility ID 0812105048 and Permit Number P0137676 from Authorization headers. Address and county from the cover letter/Authorization sections. Right of entry excerpt from Standard Terms and Conditions, item 11. Verification: Found 48 emissions units (B004 through B051) listed under 'Emissions Unit Group - Emergency Generators (48)' in Section C, pages 17-18. Cross-referenced Company Equipment IDs from Authorization section tables (pages 2-7). Generator count: 48 units; Total equipment IDs found: 48. Conditions used to extract operating limits (hours and fuel), fuel specifications (ULSD per 40 CFR 1090.305), NSPS Subpart IIII applicability, and MACT Subpart ZZZZ applicability.",3715074.json,1.0,B021,True,,P2GEN02,Baudouin,,2978.85,2978.85,2000.0,19.497,True,True,False,True,ultra-low sulfur diesel (ULSD),,,,40 CFR 1090.305,0.0015,True,,,,,854064.0,emissions units B004 - B051,,4320.0,"rolling, 12-month summation",,,,"The emergency stationary ICE must comply with the applicable requirements specified in 40 CFR 60.4211(f) to be considered an emergency stationary ICE under Part 60, Subpart IIII.",20.0,True,monthly,5.0,True,True,"EU description lists 'Emergency Diesel Generator 21 - 2,000 kW Baudouin generator' in Section C (page 17). Company Equipment ID from Authorization table (page 4)."
P0137676,2025-06-03,,CMH01 Holdings LP,"601 Benjamin Dr Springfield, OH 45502",Clark,OH,0812105048,,,,,,"Under Ohio law, the Director or his/her authorized representative may inspect the facility, conduct tests, examine records or reports to determine compliance with air pollution laws and regulations and the terms and conditions of this permit.  You must provide, within a reasonable time, any information Ohio EPA requests either verbally or in writing.","Issue date extracted from Authorization page. Expiration is stated as 'To be entered upon final issuance' (no explicit date). Facility address and county from Authorization and cover letter. Generator list and specifications cross-checked in Authorization (Company Equipment ID mapping, pages listing B004-B051) and Emissions Unit Terms and Conditions (pages 20-21). Extracted 48 generators (B004-B051). Per-unit capacity (2,000 kW) and make 'Baudouin' from Emissions Unit Group descriptions. Group operating hour limit (4,320 hours, rolling 12-month summation) and combined ULSD usage limit (854,064 gallons, rolling 12-month summation) from section c)(1)-c)(2). NSPS Subpart IIII applicability and MACT Subpart ZZZZ applicability from facility-wide terms.",3670657.json,1.0,B021,True,,P2GEN02,Baudouin,,2978.85,2978.85,2000.0,19.497,True,True,False,True,ultra-low sulfur diesel (ULSD),,,,40 CFR 1090.305,0.0015,True,,,,,854064.0,B004 - B051,,,,4320.0,B004 - B051,"rolling, 12-month summation","The emergency stationary ICE must comply with the applicable requirements specified in 40 CFR 60.4211(f) to be considered an emergency stationary ICE under Part 60, Subpart IIII.",20.0,True,,5.0,True,True,"Operations description: 'Emergency Diesel Generator 21 - 2,000 kW Baudouin generator' (section C). Company Equipment ID from Authorization."
P0137676,2025-07-09,2030-07-09,CMH01 Holdings LP,"601 Benjamin Dr Springfield, OH 45502",Clark,OH,0812105048,,,,,,"Yes. Under Ohio law, the Director or his/her authorized representative may inspect the facility, conduct tests, examine records or reports to determine compliance with air pollution laws and regulations and the terms and conditions of this permit.",Primary identifiers and dates from Authorization and cover pages. Facility ID and county from Authorization header. Address from Authorization. This PTIO covers 48 diesel emergency generators (B004-B051). Three existing 2 MW Kohler engines remain authorized under PBR per Response to Comments and are not listed as emissions units in this PTIO.,3715072.json,1.0,B021,True,,P2GEN02,Baudouin,,2978.85,2978.85,2000.0,19.497,True,True,False,True,ultra-low sulfur diesel (ULSD),,,,,0.0015,True,,,,,854064.0,B004 - B051,,,,4320.0,B004 - B051,"rolling, 12-month summation","The emergency stationary ICE must comply with the applicable requirements specified in 40 CFR 60.4211(f) to be considered an emergency stationary ICE under Part 60, Subpart IIII.",20.0,True,,5.0,True,True,"EU description: 'Emergency Diesel Generator 21- 2,000 kW Baudouin generator'. Company Equipment ID mapping from Authorization. Group operating hours and ULSD throughput limits apply to B004 - B051."
P0137676,2025-07-09,2030-07-09,CMH01 Holdings LP,"601 Benjamin Dr Springfield, OH 45502",Clark,OH,0812105048,,,,,,"Yes. Under Ohio law, the Director or his/her authorized representative may inspect the facility, conduct tests, examine records or reports to determine compliance with air pollution laws and regulations and the terms and conditions of this permit. You must provide, within a reasonable time, any information Ohio EPA requests either verbally or in writing.","Primary identifiers and dates from Authorization pages (Issued/Effective/Expiration on page 1). Facility ID 0812105048 and Permit Number P0137676 from Authorization headers. Address and county from the cover letter/Authorization sections. Right of entry excerpt from Standard Terms and Conditions, item 11. Verification: Found 48 emissions units (B004 through B051) listed under 'Emissions Unit Group - Emergency Generators (48)' in Section C, pages 17-18. Cross-referenced Company Equipment IDs from Authorization section tables (pages 2-7). Generator count: 48 units; Total equipment IDs found: 48. Conditions used to extract operating limits (hours and fuel), fuel specifications (ULSD per 40 CFR 1090.305), NSPS Subpart IIII applicability, and MACT Subpart ZZZZ applicability.",3715074.json,1.0,B022,True,,P2GEN03,Baudouin,,2978.85,2978.85,2000.0,19.497,True,True,False,True,ultra-low sulfur diesel (ULSD),,,,40 CFR 1090.305,0.0015,True,,,,,854064.0,emissions units B004 - B051,,4320.0,"rolling, 12-month summation",,,,"The emergency stationary ICE must comply with the applicable requirements specified in 40 CFR 60.4211(f) to be considered an emergency stationary ICE under Part 60, Subpart IIII.",20.0,True,monthly,5.0,True,True,"EU description lists 'Emergency Diesel Generator 22 - 2,000 kW Baudouin generator' in Section C (page 17). Company Equipment ID from Authorization table (page 4)."
P0137676,2025-06-03,,CMH01 Holdings LP,"601 Benjamin Dr Springfield, OH 45502",Clark,OH,0812105048,,,,,,"Under Ohio law, the Director or his/her authorized representative may inspect the facility, conduct tests, examine records or reports to determine compliance with air pollution laws and regulations and the terms and conditions of this permit.  You must provide, within a reasonable time, any information Ohio EPA requests either verbally or in writing.","Issue date extracted from Authorization page. Expiration is stated as 'To be entered upon final issuance' (no explicit date). Facility address and county from Authorization and cover letter. Generator list and specifications cross-checked in Authorization (Company Equipment ID mapping, pages listing B004-B051) and Emissions Unit Terms and Conditions (pages 20-21). Extracted 48 generators (B004-B051). Per-unit capacity (2,000 kW) and make 'Baudouin' from Emissions Unit Group descriptions. Group operating hour limit (4,320 hours, rolling 12-month summation) and combined ULSD usage limit (854,064 gallons, rolling 12-month summation) from section c)(1)-c)(2). NSPS Subpart IIII applicability and MACT Subpart ZZZZ applicability from facility-wide terms.",3670657.json,1.0,B022,True,,P2GEN03,Baudouin,,2978.85,2978.85,2000.0,19.497,True,True,False,True,ultra-low sulfur diesel (ULSD),,,,40 CFR 1090.305,0.0015,True,,,,,854064.0,B004 - B051,,,,4320.0,B004 - B051,"rolling, 12-month summation","The emergency stationary ICE must comply with the applicable requirements specified in 40 CFR 60.4211(f) to be considered an emergency stationary ICE under Part 60, Subpart IIII.",20.0,True,,5.0,True,True,"Operations description: 'Emergency Diesel Generator 22 - 2,000 kW Baudouin generator' (section C). Company Equipment ID from Authorization."
P0137676,2025-07-09,2030-07-09,CMH01 Holdings LP,"601 Benjamin Dr Springfield, OH 45502",Clark,OH,0812105048,,,,,,"Yes. Under Ohio law, the Director or his/her authorized representative may inspect the facility, conduct tests, examine records or reports to determine compliance with air pollution laws and regulations and the terms and conditions of this permit.",Primary identifiers and dates from Authorization and cover pages. Facility ID and county from Authorization header. Address from Authorization. This PTIO covers 48 diesel emergency generators (B004-B051). Three existing 2 MW Kohler engines remain authorized under PBR per Response to Comments and are not listed as emissions units in this PTIO.,3715072.json,1.0,B022,True,,P2GEN03,Baudouin,,2978.85,2978.85,2000.0,19.497,True,True,False,True,ultra-low sulfur diesel (ULSD),,,,,0.0015,True,,,,,854064.0,B004 - B051,,,,4320.0,B004 - B051,"rolling, 12-month summation","The emergency stationary ICE must comply with the applicable requirements specified in 40 CFR 60.4211(f) to be considered an emergency stationary ICE under Part 60, Subpart IIII.",20.0,True,,5.0,True,True,"EU description: 'Emergency Diesel Generator 22 - 2,000 kW Baudouin generator'. Company Equipment ID mapping from Authorization. Group operating hours and ULSD throughput limits apply to B004 - B051."
P0137676,2025-07-09,2030-07-09,CMH01 Holdings LP,"601 Benjamin Dr Springfield, OH 45502",Clark,OH,0812105048,,,,,,"Yes. Under Ohio law, the Director or his/her authorized representative may inspect the facility, conduct tests, examine records or reports to determine compliance with air pollution laws and regulations and the terms and conditions of this permit. You must provide, within a reasonable time, any information Ohio EPA requests either verbally or in writing.","Primary identifiers and dates from Authorization pages (Issued/Effective/Expiration on page 1). Facility ID 0812105048 and Permit Number P0137676 from Authorization headers. Address and county from the cover letter/Authorization sections. Right of entry excerpt from Standard Terms and Conditions, item 11. Verification: Found 48 emissions units (B004 through B051) listed under 'Emissions Unit Group - Emergency Generators (48)' in Section C, pages 17-18. Cross-referenced Company Equipment IDs from Authorization section tables (pages 2-7). Generator count: 48 units; Total equipment IDs found: 48. Conditions used to extract operating limits (hours and fuel), fuel specifications (ULSD per 40 CFR 1090.305), NSPS Subpart IIII applicability, and MACT Subpart ZZZZ applicability.",3715074.json,1.0,B023,True,,P2GEN04,Baudouin,,2978.85,2978.85,2000.0,19.497,True,True,False,True,ultra-low sulfur diesel (ULSD),,,,40 CFR 1090.305,0.0015,True,,,,,854064.0,emissions units B004 - B051,,4320.0,"rolling, 12-month summation",,,,"The emergency stationary ICE must comply with the applicable requirements specified in 40 CFR 60.4211(f) to be considered an emergency stationary ICE under Part 60, Subpart IIII.",20.0,True,monthly,5.0,True,True,"EU description lists 'Emergency Diesel Generator 23 - 2,000 kW Baudouin generator' in Section C (page 17). Company Equipment ID from Authorization table (page 4)."
P0137676,2025-06-03,,CMH01 Holdings LP,"601 Benjamin Dr Springfield, OH 45502",Clark,OH,0812105048,,,,,,"Under Ohio law, the Director or his/her authorized representative may inspect the facility, conduct tests, examine records or reports to determine compliance with air pollution laws and regulations and the terms and conditions of this permit.  You must provide, within a reasonable time, any information Ohio EPA requests either verbally or in writing.","Issue date extracted from Authorization page. Expiration is stated as 'To be entered upon final issuance' (no explicit date). Facility address and county from Authorization and cover letter. Generator list and specifications cross-checked in Authorization (Company Equipment ID mapping, pages listing B004-B051) and Emissions Unit Terms and Conditions (pages 20-21). Extracted 48 generators (B004-B051). Per-unit capacity (2,000 kW) and make 'Baudouin' from Emissions Unit Group descriptions. Group operating hour limit (4,320 hours, rolling 12-month summation) and combined ULSD usage limit (854,064 gallons, rolling 12-month summation) from section c)(1)-c)(2). NSPS Subpart IIII applicability and MACT Subpart ZZZZ applicability from facility-wide terms.",3670657.json,1.0,B023,True,,P2GEN04,Baudouin,,2978.85,2978.85,2000.0,19.497,True,True,False,True,ultra-low sulfur diesel (ULSD),,,,40 CFR 1090.305,0.0015,True,,,,,854064.0,B004 - B051,,,,4320.0,B004 - B051,"rolling, 12-month summation","The emergency stationary ICE must comply with the applicable requirements specified in 40 CFR 60.4211(f) to be considered an emergency stationary ICE under Part 60, Subpart IIII.",20.0,True,,5.0,True,True,"Operations description: 'Emergency Diesel Generator 23 - 2,000 kW Baudouin generator' (section C). Company Equipment ID from Authorization."
P0137676,2025-07-09,2030-07-09,CMH01 Holdings LP,"601 Benjamin Dr Springfield, OH 45502",Clark,OH,0812105048,,,,,,"Yes. Under Ohio law, the Director or his/her authorized representative may inspect the facility, conduct tests, examine records or reports to determine compliance with air pollution laws and regulations and the terms and conditions of this permit.",Primary identifiers and dates from Authorization and cover pages. Facility ID and county from Authorization header. Address from Authorization. This PTIO covers 48 diesel emergency generators (B004-B051). Three existing 2 MW Kohler engines remain authorized under PBR per Response to Comments and are not listed as emissions units in this PTIO.,3715072.json,1.0,B023,True,,P2GEN04,Baudouin,,2978.85,2978.85,2000.0,19.497,True,True,False,True,ultra-low sulfur diesel (ULSD),,,,,0.0015,True,,,,,854064.0,B004 - B051,,,,4320.0,B004 - B051,"rolling, 12-month summation","The emergency stationary ICE must comply with the applicable requirements specified in 40 CFR 60.4211(f) to be considered an emergency stationary ICE under Part 60, Subpart IIII.",20.0,True,,5.0,True,True,"EU description: 'Emergency Diesel Generator 23 - 2,000 kW Baudouin generator'. Company Equipment ID mapping from Authorization. Group operating hours and ULSD throughput limits apply to B004 - B051."
P0137676,2025-07-09,2030-07-09,CMH01 Holdings LP,"601 Benjamin Dr Springfield, OH 45502",Clark,OH,0812105048,,,,,,"Yes. Under Ohio law, the Director or his/her authorized representative may inspect the facility, conduct tests, examine records or reports to determine compliance with air pollution laws and regulations and the terms and conditions of this permit. You must provide, within a reasonable time, any information Ohio EPA requests either verbally or in writing.","Primary identifiers and dates from Authorization pages (Issued/Effective/Expiration on page 1). Facility ID 0812105048 and Permit Number P0137676 from Authorization headers. Address and county from the cover letter/Authorization sections. Right of entry excerpt from Standard Terms and Conditions, item 11. Verification: Found 48 emissions units (B004 through B051) listed under 'Emissions Unit Group - Emergency Generators (48)' in Section C, pages 17-18. Cross-referenced Company Equipment IDs from Authorization section tables (pages 2-7). Generator count: 48 units; Total equipment IDs found: 48. Conditions used to extract operating limits (hours and fuel), fuel specifications (ULSD per 40 CFR 1090.305), NSPS Subpart IIII applicability, and MACT Subpart ZZZZ applicability.",3715074.json,1.0,B024,True,,P2GEN05,Baudouin,,2978.85,2978.85,2000.0,19.497,True,True,False,True,ultra-low sulfur diesel (ULSD),,,,40 CFR 1090.305,0.0015,True,,,,,854064.0,emissions units B004 - B051,,4320.0,"rolling, 12-month summation",,,,"The emergency stationary ICE must comply with the applicable requirements specified in 40 CFR 60.4211(f) to be considered an emergency stationary ICE under Part 60, Subpart IIII.",20.0,True,monthly,5.0,True,True,"EU description lists 'Emergency Diesel Generator 24 - 2,000 kW Baudouin generator' in Section C (page 17). Company Equipment ID from Authorization table (page 4)."
P0137676,2025-06-03,,CMH01 Holdings LP,"601 Benjamin Dr Springfield, OH 45502",Clark,OH,0812105048,,,,,,"Under Ohio law, the Director or his/her authorized representative may inspect the facility, conduct tests, examine records or reports to determine compliance with air pollution laws and regulations and the terms and conditions of this permit.  You must provide, within a reasonable time, any information Ohio EPA requests either verbally or in writing.","Issue date extracted from Authorization page. Expiration is stated as 'To be entered upon final issuance' (no explicit date). Facility address and county from Authorization and cover letter. Generator list and specifications cross-checked in Authorization (Company Equipment ID mapping, pages listing B004-B051) and Emissions Unit Terms and Conditions (pages 20-21). Extracted 48 generators (B004-B051). Per-unit capacity (2,000 kW) and make 'Baudouin' from Emissions Unit Group descriptions. Group operating hour limit (4,320 hours, rolling 12-month summation) and combined ULSD usage limit (854,064 gallons, rolling 12-month summation) from section c)(1)-c)(2). NSPS Subpart IIII applicability and MACT Subpart ZZZZ applicability from facility-wide terms.",3670657.json,1.0,B024,True,,P2GEN05,Baudouin,,2978.85,2978.85,2000.0,19.497,True,True,False,True,ultra-low sulfur diesel (ULSD),,,,40 CFR 1090.305,0.0015,True,,,,,854064.0,B004 - B051,,,,4320.0,B004 - B051,"rolling, 12-month summation","The emergency stationary ICE must comply with the applicable requirements specified in 40 CFR 60.4211(f) to be considered an emergency stationary ICE under Part 60, Subpart IIII.",20.0,True,,5.0,True,True,"Operations description: 'Emergency Diesel Generator 24 - 2,000 kW Baudouin generator' (section C). Company Equipment ID from Authorization."
P0137676,2025-07-09,2030-07-09,CMH01 Holdings LP,"601 Benjamin Dr Springfield, OH 45502",Clark,OH,0812105048,,,,,,"Yes. Under Ohio law, the Director or his/her authorized representative may inspect the facility, conduct tests, examine records or reports to determine compliance with air pollution laws and regulations and the terms and conditions of this permit.",Primary identifiers and dates from Authorization and cover pages. Facility ID and county from Authorization header. Address from Authorization. This PTIO covers 48 diesel emergency generators (B004-B051). Three existing 2 MW Kohler engines remain authorized under PBR per Response to Comments and are not listed as emissions units in this PTIO.,3715072.json,1.0,B024,True,,P2GEN05,Baudouin,,2978.85,2978.85,2000.0,19.497,True,True,False,True,ultra-low sulfur diesel (ULSD),,,,,0.0015,True,,,,,854064.0,B004 - B051,,,,4320.0,B004 - B051,"rolling, 12-month summation","The emergency stationary ICE must comply with the applicable requirements specified in 40 CFR 60.4211(f) to be considered an emergency stationary ICE under Part 60, Subpart IIII.",20.0,True,,5.0,True,True,"EU description: 'Emergency Diesel Generator 24 - 2,000 kW Baudouin generator'. Company Equipment ID mapping from Authorization. Group operating hours and ULSD throughput limits apply to B004 - B051."
P0137676,2025-07-09,2030-07-09,CMH01 Holdings LP,"601 Benjamin Dr Springfield, OH 45502",Clark,OH,0812105048,,,,,,"Yes. Under Ohio law, the Director or his/her authorized representative may inspect the facility, conduct tests, examine records or reports to determine compliance with air pollution laws and regulations and the terms and conditions of this permit. You must provide, within a reasonable time, any information Ohio EPA requests either verbally or in writing.","Primary identifiers and dates from Authorization pages (Issued/Effective/Expiration on page 1). Facility ID 0812105048 and Permit Number P0137676 from Authorization headers. Address and county from the cover letter/Authorization sections. Right of entry excerpt from Standard Terms and Conditions, item 11. Verification: Found 48 emissions units (B004 through B051) listed under 'Emissions Unit Group - Emergency Generators (48)' in Section C, pages 17-18. Cross-referenced Company Equipment IDs from Authorization section tables (pages 2-7). Generator count: 48 units; Total equipment IDs found: 48. Conditions used to extract operating limits (hours and fuel), fuel specifications (ULSD per 40 CFR 1090.305), NSPS Subpart IIII applicability, and MACT Subpart ZZZZ applicability.",3715074.json,1.0,B025,True,,P2GEN06,Baudouin,,2978.85,2978.85,2000.0,19.497,True,True,False,True,ultra-low sulfur diesel (ULSD),,,,40 CFR 1090.305,0.0015,True,,,,,854064.0,emissions units B004 - B051,,4320.0,"rolling, 12-month summation",,,,"The emergency stationary ICE must comply with the applicable requirements specified in 40 CFR 60.4211(f) to be considered an emergency stationary ICE under Part 60, Subpart IIII.",20.0,True,monthly,5.0,True,True,"EU description lists 'Emergency Diesel Generator 25 - 2,000 kW Baudouin generator' in Section C (page 17). Company Equipment ID from Authorization table (page 4)."
P0137676,2025-06-03,,CMH01 Holdings LP,"601 Benjamin Dr Springfield, OH 45502",Clark,OH,0812105048,,,,,,"Under Ohio law, the Director or his/her authorized representative may inspect the facility, conduct tests, examine records or reports to determine compliance with air pollution laws and regulations and the terms and conditions of this permit.  You must provide, within a reasonable time, any information Ohio EPA requests either verbally or in writing.","Issue date extracted from Authorization page. Expiration is stated as 'To be entered upon final issuance' (no explicit date). Facility address and county from Authorization and cover letter. Generator list and specifications cross-checked in Authorization (Company Equipment ID mapping, pages listing B004-B051) and Emissions Unit Terms and Conditions (pages 20-21). Extracted 48 generators (B004-B051). Per-unit capacity (2,000 kW) and make 'Baudouin' from Emissions Unit Group descriptions. Group operating hour limit (4,320 hours, rolling 12-month summation) and combined ULSD usage limit (854,064 gallons, rolling 12-month summation) from section c)(1)-c)(2). NSPS Subpart IIII applicability and MACT Subpart ZZZZ applicability from facility-wide terms.",3670657.json,1.0,B025,True,,P2GEN06,Baudouin,,2978.85,2978.85,2000.0,19.497,True,True,False,True,ultra-low sulfur diesel (ULSD),,,,40 CFR 1090.305,0.0015,True,,,,,854064.0,B004 - B051,,,,4320.0,B004 - B051,"rolling, 12-month summation","The emergency stationary ICE must comply with the applicable requirements specified in 40 CFR 60.4211(f) to be considered an emergency stationary ICE under Part 60, Subpart IIII.",20.0,True,,5.0,True,True,"Operations description: 'Emergency Diesel Generator 25 - 2,000 kW Baudouin generator' (section C). Company Equipment ID from Authorization."
P0137676,2025-07-09,2030-07-09,CMH01 Holdings LP,"601 Benjamin Dr Springfield, OH 45502",Clark,OH,0812105048,,,,,,"Yes. Under Ohio law, the Director or his/her authorized representative may inspect the facility, conduct tests, examine records or reports to determine compliance with air pollution laws and regulations and the terms and conditions of this permit.",Primary identifiers and dates from Authorization and cover pages. Facility ID and county from Authorization header. Address from Authorization. This PTIO covers 48 diesel emergency generators (B004-B051). Three existing 2 MW Kohler engines remain authorized under PBR per Response to Comments and are not listed as emissions units in this PTIO.,3715072.json,1.0,B025,True,,P2GEN06,Baudouin,,2978.85,2978.85,2000.0,19.497,True,True,False,True,ultra-low sulfur diesel (ULSD),,,,,0.0015,True,,,,,854064.0,B004 - B051,,,,4320.0,B004 - B051,"rolling, 12-month summation","The emergency stationary ICE must comply with the applicable requirements specified in 40 CFR 60.4211(f) to be considered an emergency stationary ICE under Part 60, Subpart IIII.",20.0,True,,5.0,True,True,"EU description: 'Emergency Diesel Generator 25 - 2,000 kW Baudouin generator'. Company Equipment ID mapping from Authorization. Group operating hours and ULSD throughput limits apply to B004 - B051."
P0137676,2025-07-09,2030-07-09,CMH01 Holdings LP,"601 Benjamin Dr Springfield, OH 45502",Clark,OH,0812105048,,,,,,"Yes. Under Ohio law, the Director or his/her authorized representative may inspect the facility, conduct tests, examine records or reports to determine compliance with air pollution laws and regulations and the terms and conditions of this permit. You must provide, within a reasonable time, any information Ohio EPA requests either verbally or in writing.","Primary identifiers and dates from Authorization pages (Issued/Effective/Expiration on page 1). Facility ID 0812105048 and Permit Number P0137676 from Authorization headers. Address and county from the cover letter/Authorization sections. Right of entry excerpt from Standard Terms and Conditions, item 11. Verification: Found 48 emissions units (B004 through B051) listed under 'Emissions Unit Group - Emergency Generators (48)' in Section C, pages 17-18. Cross-referenced Company Equipment IDs from Authorization section tables (pages 2-7). Generator count: 48 units; Total equipment IDs found: 48. Conditions used to extract operating limits (hours and fuel), fuel specifications (ULSD per 40 CFR 1090.305), NSPS Subpart IIII applicability, and MACT Subpart ZZZZ applicability.",3715074.json,1.0,B026,True,,P2GEN07,Baudouin,,2978.85,2978.85,2000.0,19.497,True,True,False,True,ultra-low sulfur diesel (ULSD),,,,40 CFR 1090.305,0.0015,True,,,,,854064.0,emissions units B004 - B051,,4320.0,"rolling, 12-month summation",,,,"The emergency stationary ICE must comply with the applicable requirements specified in 40 CFR 60.4211(f) to be considered an emergency stationary ICE under Part 60, Subpart IIII.",20.0,True,monthly,5.0,True,True,"EU description lists 'Emergency Diesel Generator 26 - 2,000 kW Baudouin generator' in Section C (page 17). Company Equipment ID from Authorization table (page 4)."
P0137676,2025-06-03,,CMH01 Holdings LP,"601 Benjamin Dr Springfield, OH 45502",Clark,OH,0812105048,,,,,,"Under Ohio law, the Director or his/her authorized representative may inspect the facility, conduct tests, examine records or reports to determine compliance with air pollution laws and regulations and the terms and conditions of this permit.  You must provide, within a reasonable time, any information Ohio EPA requests either verbally or in writing.","Issue date extracted from Authorization page. Expiration is stated as 'To be entered upon final issuance' (no explicit date). Facility address and county from Authorization and cover letter. Generator list and specifications cross-checked in Authorization (Company Equipment ID mapping, pages listing B004-B051) and Emissions Unit Terms and Conditions (pages 20-21). Extracted 48 generators (B004-B051). Per-unit capacity (2,000 kW) and make 'Baudouin' from Emissions Unit Group descriptions. Group operating hour limit (4,320 hours, rolling 12-month summation) and combined ULSD usage limit (854,064 gallons, rolling 12-month summation) from section c)(1)-c)(2). NSPS Subpart IIII applicability and MACT Subpart ZZZZ applicability from facility-wide terms.",3670657.json,1.0,B026,True,,P2GEN07,Baudouin,,2978.85,2978.85,2000.0,19.497,True,True,False,True,ultra-low sulfur diesel (ULSD),,,,40 CFR 1090.305,0.0015,True,,,,,854064.0,B004 - B051,,,,4320.0,B004 - B051,"rolling, 12-month summation","The emergency stationary ICE must comply with the applicable requirements specified in 40 CFR 60.4211(f) to be considered an emergency stationary ICE under Part 60, Subpart IIII.",20.0,True,,5.0,True,True,"Operations description: 'Emergency Diesel Generator 26 - 2,000 kW Baudouin generator' (section C). Company Equipment ID from Authorization."
P0137676,2025-07-09,2030-07-09,CMH01 Holdings LP,"601 Benjamin Dr Springfield, OH 45502",Clark,OH,0812105048,,,,,,"Yes. Under Ohio law, the Director or his/her authorized representative may inspect the facility, conduct tests, examine records or reports to determine compliance with air pollution laws and regulations and the terms and conditions of this permit.",Primary identifiers and dates from Authorization and cover pages. Facility ID and county from Authorization header. Address from Authorization. This PTIO covers 48 diesel emergency generators (B004-B051). Three existing 2 MW Kohler engines remain authorized under PBR per Response to Comments and are not listed as emissions units in this PTIO.,3715072.json,1.0,B026,True,,P2GEN07,Baudouin,,2978.85,2978.85,2000.0,19.497,True,True,False,True,ultra-low sulfur diesel (ULSD),,,,,0.0015,True,,,,,854064.0,B004 - B051,,,,4320.0,B004 - B051,"rolling, 12-month summation","The emergency stationary ICE must comply with the applicable requirements specified in 40 CFR 60.4211(f) to be considered an emergency stationary ICE under Part 60, Subpart IIII.",20.0,True,,5.0,True,True,"EU description: 'Emergency Diesel Generator 26 - 2,000 kW Baudouin generator'. Company Equipment ID mapping from Authorization. Group operating hours and ULSD throughput limits apply to B004 - B051."
P0137676,2025-07-09,2030-07-09,CMH01 Holdings LP,"601 Benjamin Dr Springfield, OH 45502",Clark,OH,0812105048,,,,,,"Yes. Under Ohio law, the Director or his/her authorized representative may inspect the facility, conduct tests, examine records or reports to determine compliance with air pollution laws and regulations and the terms and conditions of this permit. You must provide, within a reasonable time, any information Ohio EPA requests either verbally or in writing.","Primary identifiers and dates from Authorization pages (Issued/Effective/Expiration on page 1). Facility ID 0812105048 and Permit Number P0137676 from Authorization headers. Address and county from the cover letter/Authorization sections. Right of entry excerpt from Standard Terms and Conditions, item 11. Verification: Found 48 emissions units (B004 through B051) listed under 'Emissions Unit Group - Emergency Generators (48)' in Section C, pages 17-18. Cross-referenced Company Equipment IDs from Authorization section tables (pages 2-7). Generator count: 48 units; Total equipment IDs found: 48. Conditions used to extract operating limits (hours and fuel), fuel specifications (ULSD per 40 CFR 1090.305), NSPS Subpart IIII applicability, and MACT Subpart ZZZZ applicability.",3715074.json,1.0,B027,True,,P2GEN08,Baudouin,,2978.85,2978.85,2000.0,19.497,True,True,False,True,ultra-low sulfur diesel (ULSD),,,,40 CFR 1090.305,0.0015,True,,,,,854064.0,emissions units B004 - B051,,4320.0,"rolling, 12-month summation",,,,"The emergency stationary ICE must comply with the applicable requirements specified in 40 CFR 60.4211(f) to be considered an emergency stationary ICE under Part 60, Subpart IIII.",20.0,True,monthly,5.0,True,True,"EU description lists 'Emergency Diesel Generator 27 - 2,000 kW Baudouin generator' in Section C (page 17). Company Equipment ID from Authorization table (page 4)."
